,Datetime,Tweet Id,Text,Username
65,2021-01-06 22:08:19+00:00,1346941692851621889,"Just a reminder that  is doing GREAT things.
Ignore the stupid up in the capitol.
Support #Gamers and #speedrunning but also support ending cancer.
(Showing some stuff crated for PCF right now-pretty nifty).
#AGDQ2021 #AGDQ ",TheEWZine
66,2021-01-06 22:08:18+00:00,1346941690322546690,"   Just pointing out that the police seem to have learned this nifty new de-escalation technique pretty recently, because they didn't seem to have it available to them in Kenosha, Ferguson, Louisville...hell, even in DC just a few months ago.

Or do they save it for white folks?",MyobaMazon
67,2021-01-06 22:05:03+00:00,1346940872982728707, Open source FPGA programming? Nifty! Curious how usable it is.,garrettreid
68,2021-01-06 22:02:02+00:00,1346940114061049859,"    Not a single one is peaceful. They pushed through the cops they swear they support. They barreled through layers of security to get inside. They rioted their way into the Capitol's senate chamber. 

This was a coup. This is literally terrorism. There's nothing peaceful about it.",Nifty__Fifty
69,2021-01-06 22:00:29+00:00,1346939723277766657,"                     Telling it how it can build another one of itself. So that pretty nifty, I would say...",XxDeplexerxX
70,2021-01-06 21:55:18+00:00,1346938416366288897,"  It's a super nifty piece of kit, really glad we were able to get a hold of one of them... you know, for not-scalper-money :D",leinir
71,2021-01-06 21:54:27+00:00,1346938204503429122,"More violent oppose will be seen , which has been started today.. till 21st feb all drama will continue.",Doc_nifty
72,2021-01-06 21:52:06+00:00,1346937613282897923, 😂😱😂 have just been having similar discussion around our dinner table. Hadn't thought of St Kilda though. Nifty.,janetpontin
73,2021-01-06 21:51:12+00:00,1346937387113271297,   Do you think that malignant narcissist cares about blood on his hands?,nifty_raccoon
74,2021-01-06 21:51:00+00:00,1346937337008177153, Oh nifty,SirBreygon
75,2021-01-06 21:50:10+00:00,1346937124692529153,"This is getting out of control! Overnight risk of taking a naked call/put increasing by the day!

Option buyers please start using bull/bear spreads next time rather than buying naked. It saves cost and risks.
#nse #bse #nifty #marketwala",MrMarketwala
76,2021-01-06 21:48:51+00:00,1346936795045498890,"The rioters/mob/anarchists/right-wing extremists at the Capitol building are trying to overthrow a Democratic system and install a fascist regime controlled by a dictator.
#CoupAttempt #MAGATERRORISTS #coup #democracy #TERRORISTS #ArrestTrump #Sedition #Amendment25 #treason #Riot",Nifty_McAwesome
77,2021-01-06 21:48:40+00:00,1346936749885255684,"当然の事。
後出しジャンケンではなく、初めから分かっているルールなんだから、難癖つけるのはお門違い。格好悪い。

""井岡一翔のタトゥー問題に井上尚弥が“正論”のツイート。「確かにルール」「こういう発言できるのがカッコイイ」とファンも沸く！ :""  ",tatsu49
78,2021-01-06 21:43:50+00:00,1346935533608398848,  👀👀👀,PhillieTV
79,2021-01-06 21:39:49+00:00,1346934522953297922,So now that DC and Puerto Rico gonna be states what the new song gonna be. 50 nifty United States will be no more,P0LAR_Xpress
80,2021-01-06 21:35:56+00:00,1346933543272902657,   So,Tanaka31431943
81,2021-01-06 21:35:55+00:00,1346933540915613698, Nifty little chart. Mac? PC?,_heydudebroman
82,2021-01-06 21:35:44+00:00,1346933495164260353,i want some jamaican food but then i want nifty fifty then i want benihana😒😒😒,marnasiaaa
83,2021-01-06 21:35:40+00:00,1346933475782262786,   You lost 😂😂😂😂😂,Tanaka31431943
84,2021-01-06 21:34:41+00:00,1346933228767113221, It can with a nifty thing called the 25th amendment?,jennifer_gayers
85,2021-01-06 21:33:59+00:00,1346933052715401216,  You MONSTER. OPEN THE GATE! FREE BOLT! NOBODY PUTS BOLT IN THE CORNER! 😠😡👿😾 (You could totally post that pic in r/animalsbeingderps if you want a ton of karma),turntMOSFET
86,2021-01-06 21:31:45+00:00,1346932490301272066, Open the gate for him phillie &gt;&gt;:(,Nifty_cent
87,2021-01-06 21:31:07+00:00,1346932331156672514, Bruh how big?! A gallon? She best not gave nifty any.,ParodyAlucard1
88,2021-01-06 21:29:48+00:00,1346931999961919489,Charlie appears ,nifty_bear
89,2021-01-06 21:28:54+00:00,1346931776518823942," Nifty design, now lets see one with the handgrip and trigger moved all the way forward, just under the Muzzle.",freefuel1
90,2021-01-06 21:28:37+00:00,1346931702803935233,  I’m watching the game ...,Joe_egan1
91,2021-01-06 21:28:34+00:00,1346931691336720386,Nifty is live!!!!!! ,gareth_rules
92,2021-01-06 21:26:41+00:00,1346931218009493505,Here's a little nifty bit of science—in mice ,EdCara4
93,2021-01-06 21:25:35+00:00,1346930939818110986,"While I’m at it, just a reminder, BLACK LIVES FUCKING MATTER",nifty_iffty
94,2021-01-06 21:24:11+00:00,1346930586548645888,"Also, a nifty new alert that I haven't seen before from Twitter, mentioning a ""risk of violence.""

Good thing we haven't had any of that yet, right? ",JacobRubashkin
95,2021-01-06 21:23:25+00:00,1346930394696921091, H&amp;R Block explained to they’re clients that they should get there money by the end of the day. Hopeful for our money too.,Nifty_Nora
96,2021-01-06 21:22:46+00:00,1346930231366492161," As I’m anxiously awaiting each piece of news, I saw this. Thank you, Wade! I really needed to read this!",nifty_iffty
97,2021-01-06 21:14:36+00:00,1346928175368994818, 😯😯 ooooooh! That's super nifty!,ShatteredNeedle
98,2021-01-06 21:13:50+00:00,1346927983827759104," Yeah no I get it, nifty! No need for scenes that way :)",soundsbyhofsten
99,2021-01-06 21:13:20+00:00,1346927859118518276, What is wrong with the other eye👁️,nifty_bear
100,2021-01-06 21:11:56+00:00,1346927502934106113,  I’m really scared of the fact that you’re a nurse. Are you gonna be this racist with your patients? Yikes!,nifty_iffty
